"Version","ID","Age","Gender","A5","A7","A8","B","C"
"1","NK_119","16","FEMALE","93.333333333333","73.333333333333","73.333333333333","46.666666666667","100"
"2","NK_119","16","FEMALE","86.666666666667","93.333333333333","80","73.333333333333","100"
"1","NK_120","16","FEMALE","100","93.333333333333","86.666666666667","53.333333333333","100"
"2","NK_120","16","FEMALE","100","100","93.333333333333","73.333333333333","100"
"1","NK_121","17","MALE","93.333333333333","100","100","80","100"
"2","NK_121","17","MALE","100","100","100","66.666666666667","100"
"1","NK_122","17","MALE","100","93.333333333333","86.666666666667","66.666666666667","93.333333333333"
"2","NK_122","17","MALE","100","93.333333333333","86.666666666667","66.666666666667","86.666666666667"
"1","NK_123","17","MALE","93.333333333333","86.666666666667","86.666666666667","73.333333333333","100"
"2","NK_123","17","MALE","100","80","86.666666666667","53.333333333333","100"
"1","NK_124","17","MALE","86.666666666667","80","80","53.333333333333","93.333333333333"
"2","NK_124","17","MALE","93.333333333333","73.333333333333","93.333333333333","80","100"
"1","NK_125","17","MALE","100","86.666666666667","93.333333333333","66.666666666667","100"
"2","NK_125","17","MALE","100","86.666666666667","86.666666666667","73.333333333333","100"
"1","NK_126","17","FEMALE","100","66.666666666667","86.666666666667","66.666666666667","86.666666666667"
"2","NK_126","17","FEMALE","100","73.333333333333","66.666666666667","73.333333333333","100"
"1","NK_127","17","FEMALE","93.333333333333","86.666666666667","93.333333333333","73.333333333333","100"
"2","NK_127","17","FEMALE","93.333333333333","86.666666666667","80","53.333333333333","100"
"1","NK_128","17","FEMALE","93.333333333333","73.333333333333","80","46.666666666667","100"
"2","NK_128","17","FEMALE","93.333333333333","86.666666666667","80","46.666666666667","100"
"1","NK_129","17","FEMALE","93.333333333333","86.666666666667","73.333333333333","53.333333333333","93.333333333333"
"2","NK_129","17","FEMALE","100","93.333333333333","80","73.333333333333","100"
"1","NK_130","17","FEMALE","93.333333333333","100","86.666666666667","53.333333333333","100"
"2","NK_130","17","FEMALE","100","100","100","80","100"
"1","NK_131","18","MALE","93.333333333333","100","73.333333333333","66.666666666667","100"
"2","NK_131","18","MALE","93.333333333333","93.333333333333","86.666666666667","73.333333333333","100"
"1","NK_132","18","MALE","93.333333333333","93.333333333333","86.666666666667","66.666666666667","86.666666666667"
"2","NK_132","18","MALE","100","100","86.666666666667","53.333333333333","100"
"1","NK_133","18","MALE","100","86.666666666667","73.333333333333","73.333333333333","100"
"2","NK_133","18","MALE","100","86.666666666667","86.666666666667","53.333333333333","100"
"1","NK_134","18","MALE","86.666666666667","80","86.666666666667","53.333333333333","100"
"2","NK_134","18","MALE","93.333333333333","93.333333333333","93.333333333333","53.333333333333","100"
"1","NK_135","18","MALE","100","93.333333333333","93.333333333333","66.666666666667","100"
"2","NK_135","18","MALE","86.666666666667","86.666666666667","93.333333333333","46.666666666667","100"
"1","NK_136","18","FEMALE","100","93.333333333333","80","66.666666666667","86.666666666667"
"2","NK_136","18","FEMALE","86.666666666667","73.333333333333","66.666666666667","73.333333333333","100"
"1","NK_137","18","FEMALE","93.333333333333","86.666666666667","93.333333333333","73.333333333333","100"
"2","NK_137","18","FEMALE","93.333333333333","86.666666666667","86.666666666667","80","100"
"1","NK_138","18","FEMALE","86.666666666667","86.666666666667","86.666666666667","53.333333333333","100"
"2","NK_138","18","FEMALE","93.333333333333","86.666666666667","80","46.666666666667","100"
"1","NK_139","18","FEMALE","86.666666666667","86.666666666667","100","73.333333333333","93.333333333333"
"2","NK_139","18","FEMALE","100","93.333333333333","100","73.333333333333","100"
"1","NK_140","18","FEMALE","100","100","86.666666666667","53.333333333333","93.333333333333"
"2","NK_140","18","FEMALE","93.333333333333","86.666666666667","100","66.666666666667","93.333333333333"
